ID,Picture_Name,Exp_Date,Predicted_Fruit,Real_Fruit,Date_Added
3,C:/Users/houst/Documents/GitHub/images_to_be_proceessed/apple_web.jpg,5,tomato,apple,2024-10-05 19:21:15
4,C:/Users/houst/Documents/GitHub/images_to_be_proceessed/banana_web.jpg,3,pear,banana,2024-10-05 20:01:42
5,C:/Users/houst/Documents/GitHub/images_to_be_proceessed/banana__Web_Picture_2.jpg,3,pear,banana,2024-10-05 20:02:50
6,C:/Users/houst/Documents/GitHub/images_to_be_proceessed/banana_web.jpg,3,pear,banana,2024-10-05 20:03:40
7,C:/Users/houst/Documents/GitHub/images_to_be_proceessed/banana__Web_Picture_3.jpg,3,lemon,banana,2024-10-05 20:04:44
8,C:/Users/houst/Documents/GitHub/Images/train/banana/Image_4.jpg,3,banana,banana,2024-10-05 20:06:21
9,C:/Users/houst/Documents/GitHub/Images/train/corn/Image_3.jpg,2,corn,corn,2024-10-05 20:07:47
10,C:/Users/houst/OneDrive/Documents/GitHub/Computer_Architecture_Final/Images/train/garlic/Image_1.jpg,1,garlic,garlic,2024-10-05 20:25:19
